t,Qi(t),H(t)
1482,"40,60364516","20,95010802"
1485,"40,60364516","20,96243828"
1488,"40,60364516","20,97465443"
1491,"40,60364516","20,98675782"
1494,"40,60364516","20,99874977"
1497,"40,60364516","21,01063156"
1500,"40,60364516","21,02240449"
1503,"40,60364516","21,03406979"
1506,"40,60364516","21,04562872"
1509,"40,60364516","21,05708249"
1512,"40,60364516","21,0684323"
1515,"40,60364516","21,07967933"
1518,"40,60364516","21,09082475"
1521,"40,60364516","21,10186971"
1524,"40,60364516","21,11281533"
1527,"40,60364516","21,12366272"
1530,"40,60364516","21,13441299"
1533,"40,60364516","21,14506722"
1536,"40,60364516","21,15562646"
1539,"40,60364516","21,16609178"
1542,"40,60364516","21,17646419"
1545,"40,60364516","21,18674473"
1548,"40,60364516","21,19693439"
1551,"40,60364516","21,20703417"
1554,"40,60364516","21,21704505"
1557,"40,60364516","21,22696797"
1560,"40,60364516","21,2368039"
1563,"40,60364516","21,24655377"
1566,"40,60364516","21,2562185"
1569,"40,60364516","21,26579899"
1572,"40,60364516","21,27529616"
1575,"40,60364516","21,28471087"
1578,"40,60364516","21,29404401"
1581,"40,60364516","21,30329643"
1584,"40,60364516","21,31246898"
1587,"40,60364516","21,3215625"
1590,"40,60364516","21,33057782"
1593,"40,60364516","21,33951574"
1596,"40,60364516","21,34837708"
1599,"40,60364516","21,35716262"
1602,"40,60364516","21,36587315"
1605,"40,60364516","21,37450944"
1608,"40,60364516","21,38307224"
1611,"40,60364516","21,39156233"
1614,"40,60364516","21,39998042"
1617,"40,60364516","21,40832727"
1620,"40,60364516","21,41660358"
1623,"40,60364516","21,42481008"
1626,"40,60364516","21,43294746"
1629,"40,60364516","21,44101642"
1632,"40,60364516","21,44901766"
1635,"40,60364516","21,45695184"
1638,"40,60364516","21,46481963"
1641,"40,60364516","21,4726217"
1644,"40,60364516","21,4803587"
1647,"40,60364516","21,48803126"
1650,"40,60364516","21,49564004"
1653,"40,60364516","21,50318564"
1656,"40,60364516","21,51066871"
1659,"40,60364516","21,51808983"
1662,"40,60364516","21,52544964"
1665,"40,60364516","21,53274871"
1668,"40,60364516","21,53998764"
1671,"40,60364516","21,54716701"
1674,"40,60364516","21,5542874"
1677,"40,60364516","21,56134937"
1680,"40,60364516","21,5683535"
1683,"40,60364516","21,57530033"
1686,"40,60364516","21,58219041"
1689,"40,60364516","21,58902428"
1692,"40,60364516","21,59580249"
1695,"40,60364516","21,60252555"
1698,"40,60364516","21,609194"
1701,"40,60364516","21,61580834"
1704,"40,60364516","21,6223691"
1707,"40,60364516","21,62887676"
1710,"40,60364516","21,63533184"
1713,"40,60364516","21,64173483"
1716,"40,60364516","21,64808621"
1719,"40,60364516","21,65438646"
1722,"40,60364516","21,66063606"
1725,"40,60364516","21,66683549"
1728,"40,60364516","21,6729852"
1731,"40,60364516","21,67908565"
1734,"40,60364516","21,68513731"
1737,"40,60364516","21,69114062"
1740,"40,60364516","21,69709602"
1743,"40,60364516","21,70300396"
1746,"40,60364516","21,70886486"
1749,"40,60364516","21,71467916"
1752,"40,60364516","21,72044729"
1755,"40,60364516","21,72616966"
1758,"40,60364516","21,73184668"
1761,"40,60364516","21,73747878"
1764,"40,60364516","21,74306635"
1767,"40,60364516","21,74860979"
1770,"40,60364516","21,75410952"
1773,"40,60364516","21,7595659"
1776,"40,60364516","21,76497935"
1779,"40,60364516","21,77035023"
1782,"40,60364516","21,77567894"
1785,"40,60364516","21,78096584"
1788,"40,60364516","21,78621131"
1791,"40,60364516","21,79141572"
1794,"40,60364516","21,79657943"
1797,"40,60364516","21,8017028"
1800,"40,60364516","21,80678619"
1803,"40,60364516","21,81182995"
1806,"40,60364516","21,81683443"
1809,"40,60364516","21,82179997"
